PROVIDER_ID,ORGANIZATION_ID,PROVIDER_NAME,SPECIALTY,NPI
d25c2007-7607-3599-904b-3c558cbeb6c3,b124a580-eb0c-5a8c-9af4-13eb91cef0ff,Teressa Moore,Internal Medicine,1900000027
60f8ab2a-3f88-38c0-97f5-fdd71ccd04ba,938e7b87-1b88-5f5c-a1a4-2976b3939d50,Elton VonRueden,Family Medicine,1900000028
e2a4bf3b-ca54-3e59-b3fb-86782cb88617,b124a580-eb0c-5a8c-9af4-13eb91cef0ff,Jesús Quiroz,internal medicine,1900000029
d0da8411-8e1b-3024-91e3-795c8db29962,b124a580-eb0c-5a8c-9af4-13eb91cef0ff,Alessandra Predovic,Internal Medicine,1900000030
6d39ef49-708a-33a9-9a15-ff05e78ac379,d50afb65-1d76-5297-a76b-25ec8a1e08b2,Pok Waelchi,Dermatology,1900000031
f3a7d874-d091-3c76-b5f9-0a007451a1a6,938e7b87-1b88-5f5c-a1a4-2976b3939d50,Daniela Carrasco,Family Medicine,1900000032
64adf5bf-f9a4-3ff8-8e96-cad97cc37135,3c40342c-da96-5e2f-9978-2cfe6db6380d,RILEY HOWELL,Obstetrics and Gynecology,1900000033
4e992564-25e3-3dc5-a7e0-9fa464e37bbb,fec57d15-486f-57ec-b809-c978562e8865,Verona Romaguera,Family Medicine,1900000034
e7d8744e-8525-3ee3-ad9d-a352dd333eea,3c40342c-da96-5e2f-9978-2cfe6db6380d,Ernestine Brown,Obstetrics and Gynecology,1900000035
de5364b2-0a08-36f8-ab63-c6455f9cded8,3f417093-9591-54fa-8e89-62fdab16a398,Olympia Schulist,Urgent Care,1900000036
1cd507b3-be67-3afe-a0cf-dbbddb080d0f,b124a580-eb0c-5a8c-9af4-13eb91cef0ff,Bryant Murazik,Internal Medicine,1900000037
9d84a86a-f2ae-33c5-b40e-b57e2ee597ea,d50afb65-1d76-5297-a76b-25ec8a1e08b2,Ethan Gottlieb,Dermatology,1900000038
4ad998df-d944-37d1-b4dc-dca9350e697d,938e7b87-1b88-5f5c-a1a4-2976b3939d50,Gwenn Breitenberg,Family Medicine,1900000039
5bee674e-0d19-3b32-a207-7bd7d46e6da2,3c40342c-da96-5e2f-9978-2cfe6db6380d,Concepción Orta,Obstetrics and Gynecology,1900000040
4519b82e-e64b-3803-a7d6-3c361040a4dc,3f417093-9591-54fa-8e89-62fdab16a398,Ruthanne Rogahn,Urgent Care,1900000041
5601b341-9681-31d7-bd95-af5b092f6c4d,2451ce7b-281c-5309-9383-0976e52f535c,Farrah Gaylord,cardiology,190000004
dc5ae10e-9506-3343-b87b-a81232af888d,2451ce7b-281c-5309-9383-0976e52f535c,Perry Wiegand,Cardiology,1900000043
17829014-3198-3566-8214-373ded391018,79089f93-7da4-56a0-86d4-3fe8c11518be,NOEL SAWAYN,Endocrinology,1900000044
a8e3eee3-1b94-3c25-9163-7193b644e76e,79089f93-7da4-56a0-86d4-3fe8c11518be,Wava Walter,Endocrinology,1900000045
3d7e5bab-fea0-399d-9c09-4631456925a6,6f2a9893-b972-59ac-ab56-16abdd42a222,Tyra Runte,Behavioral Health,1900000046
28de4ec5-49de-3dee-aff5-9902aa4a83ad,d50afb65-1d76-5297-a76b-25ec8a1e08b2,Harry Lang,dermatology,1900000047
b2df4b34-283b-3754-a776-cd3c9adfa025,6f2a9893-b972-59ac-ab56-16abdd42a222,Alecia Gleichner,Behavioral Health,1900000048
bdefd926-a523-3d06-b9bf-ebb7f7ea5543,d0f52152-9a85-52c8-8397-9cd145941cdd,Abram Ebert,Pediatrics,1900000049
9fd46a5e-f7fa-3ff5-86ad-8ca0aad4c4fe,79089f93-7da4-56a0-86d4-3fe8c11518be,Laquita Gulgowski,Endocrinology,190000005
